CustomerID,first_purchase,last_purchase,invoice_count,total_units,total_revenue,avg_line_revenue,country,recency_days,customer_lifespan_days,repeat_customer_flag,high_value_flag
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,173,168.9,15.354545454545455,Denmark,4,0,0,0
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,4,2352,3541.94,21.33698795180723,Cyprus,51,309,1,1
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,2,591,1887.96,29.96761904761905,Switzerland,45,14,1,1
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,794,1298.04,24.962307692307693,Denmark,72,224,1,0
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,197,364.6,26.042857142857144,Austria,311,0,0,0
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,342,742.9300000000001,22.513030303030305,Austria,25,0,0,0
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,178,457.5,26.91176470588235,Finland,11,87,1,0
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,2,944,1628.1200000000001,21.144415584415587,Switzerland,315,39,1,0
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,2529,4008.62,18.30420091324201,Switzerland,130,0,0,1
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,2,407,852.24,21.306,Belgium,82,88,1,0
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,4,1127,2724.81,26.200096153846154,Belgium,22,164,1,1
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,808,1845.31,21.21045977011494,Norway,5,115,1,1
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1532,1850.56,18.69252525252525,Belgium,185,167,1,1
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,126,585.27,21.676666666666666,Switzerland,29,92,1,0
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,354,401.9,40.19,Australia,338,29,1,0
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,6,1462,2780.66,27.8066,Australia,16,311,1,1
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,353,549.84,17.1825,Belgium,80,0,0,0
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,1,293,439.66,4.72752688172043,Cyprus,22,0,0,0
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,4,816,1582.6000000000001,24.728125000000002,Australia,72,260,1,0
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,819,1272.48,47.12888888888889,Belgium,64,153,1,0
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,12,2118,3018.63,19.350192307692307,Belgium,19,351,1,1
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,1263,2409.9,19.126190476190477,Belgium,36,99,1,1
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1394,1635.6599999999999,19.24305882352941,Switzerland,46,0,0,0
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1178,1108.65,18.790677966101697,Belgium,119,142,1,0
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,11,84.3,16.86,Belgium,303,0,0,0
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,1,94,225.60000000000002,20.50909090909091,Belgium,323,0,0,0
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,1,96,427.7,85.53999999999999,Denmark,50,0,0,0
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,857,1710.39,31.67388888888889,Finland,149,0,0,1
12406,2011-06-09 10:23:00,2011-11-17 19:22:00,2,1818,3415.3,32.52666666666667,Denmark,22,161,1,1
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1416,1708.12,22.18337662337662,Belgium,50,214,1,1
12408,2011-03-24 14:46:00,2011-11-07 12:27:00,5,1409,2888.55,27.51,Belgium,33,227,1,1
12409,2011-06-10 12:19:00,2011-09-22 10:38:00,3,5551,11072.67,101.58412844036697,Switzerland,79,103,1,1
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,2,211,693.3299999999999,26.666538461538458,Switzerland,309,0,1,0
12412,2011-06-23 13:51:00,2011-09-26 10:16:00,3,829,1226.88,20.112786885245903,Denmark,75,94,1,0
12413,2011-01-06 16:12:00,2011-10-04 09:00:00,3,286,758.1,19.95,France,67,270,1,0
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,3,300,562.41,31.244999999999997,Austria,217,93,1,0
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,21,77374,124914.53,174.95032212885152,Australia,24,313,1,1
12417,2010-12-17 11:51:00,2011-12-06 14:52:00,9,1552,3649.1,19.005729166666665,Belgium,3,354,1,1
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,1,407,668.58,19.664117647058823,Switzerland,113,0,0,0
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,345,600.39,20.70310344827586,Cyprus,64,0,0,0
12421,2011-01-24 15:09:00,2011-11-24 09:07:00,4,484,807.04,17.93422222222222,Spain,16,303,1,0
12422,2011-01-19 09:13:00,2011-09-05 09:48:00,3,370,803.5600000000001,20.604102564102565,Australia,96,229,1,0
12423,2010-12-21 10:54:00,2011-12-09 10:10:00,8,1339,1859.31,14.87448,Belgium,1,352,1,1
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,2,740,1760.96,58.69866666666667,Australia,163,0,1,1
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,1,496,777.2,21.58888888888889,Portugal,78,0,0,0
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,1,258,582.73,19.424333333333333,Germany,195,0,0,0
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,533,825.8,26.638709677419353,Germany,22,349,1,0
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,9,3536,7956.46,27.062789115646257,Finland,26,257,1,1
12429,2010-12-09 12:05:00,2011-11-30 17:22:00,4,1557,3750.4,38.66391752577319,Denmark,9,356,1,1
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,117,256.4,23.30909090909091,Norway,43,0,0,0
12431,2010-12-01 10:03:00,2011-11-04 11:55:00,15,2896,6419.95,27.43568376068376,Australia,36,338,1,1
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,5,1801,5059.32,46.845555555555556,Norway,43,129,1,1
12433,2010-12-01 13:24:00,2011-12-09 10:02:00,7,11071,13375.87,31.847309523809525,Norway,1,372,1,1
12434,2011-03-24 13:05:00,2011-09-16 12:38:00,2,394,806.14,16.122799999999998,Australia,85,175,1,0
12435,2011-03-17 07:40:00,2011-09-21 09:06:00,2,2055,7829.89,217.49694444444447,Denmark,80,188,1,1
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,211,509.01,31.813125,Norway,100,0,0,0
12437,2011-01-12 14:13:00,2011-12-08 11:35:00,18,2922,4951.41,24.88145728643216,France,2,329,1,1
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,2,1180,2906.85,29.66173469387755,Norway,14,125,1,1
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,121,173.55,15.77727272727273,France,367,0,0,0
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,182,172.06,14.338333333333333,Spain,3,0,0,0
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,5,1153,5005.46,28.440113636363638,Norway,21,149,1,1
12445,2011-11-17 18:43:00,2011-11-17 18:43:00,1,62,133.4,33.35,Spain,22,0,0,0
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,351,1002.3100000000001,17.584385964912283,RSA,58,0,0,0
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,190,476.49,18.326538461538462,Belgium,243,0,0,0
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,243,449.45,20.429545454545455,Spain,44,0,0,0
12449,2011-06-05 15:37:00,2011-11-17 13:46:00,4,1553,4067.29,21.294712041884818,Belgium,22,164,1,1
12450,2011-06-19 14:36:00,2011-07-06 14:41:00,2,128,197.88,24.735,Spain,156,17,1,0
12451,2011-01-19 09:05:00,2011-11-29 08:40:00,5,6575,9035.52,25.524067796610172,Switzerland,11,313,1,1
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,2,185,430.57,19.571363636363635,Switzerland,17,0,1,0
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,473,707.09,16.443953488372095,Austria,134,0,0,0
12454,2011-10-14 17:13:00,2011-10-14 17:13:00,1,1006,3528.34,235.22266666666667,Spain,56,0,0,1
12455,2011-02-16 09:56:00,2011-09-27 15:31:00,6,2089,2466.86,27.409555555555556,Spain,73,223,1,1
12456,2011-03-30 09:12:00,2011-10-26 14:41:00,3,1633,3181.04,25.44832,Switzerland,44,210,1,1
12457,2011-04-14 18:57:00,2011-10-04 13:13:00,7,843,2363.23,38.11661290322581,Switzerland,66,172,1,1
12458,2011-02-28 10:55:00,2011-09-29 15:25:00,2,506,947.4,24.931578947368422,Switzerland,71,213,1,0
12461,2011-07-08 10:23:00,2011-09-06 16:57:00,2,287,826.88,23.62514285714286,Switzerland,94,60,1,0
12462,2011-02-09 14:44:00,2011-11-21 09:11:00,2,536,1189.59,19.186935483870965,Spain,19,284,1,0
12463,2011-04-12 12:47:00,2011-10-17 13:44:00,4,776,1344.78,16.202168674698793,Belgium,53,188,1,0
12464,2011-02-03 13:30:00,2011-11-29 13:33:00,8,112,1212.05,41.79482758620689,Belgium,10,299,1,0
12465,2011-06-23 13:37:00,2011-11-22 16:34:00,2,479,742.1899999999999,15.79127659574468,Belgium,17,152,1,0
12468,2011-01-27 13:29:00,2011-06-05 11:36:00,2,366,729.54,19.198421052631577,Germany,188,128,1,0
12471,2010-12-10 09:35:00,2011-12-07 15:43:00,30,8200,19788.649999999998,43.112527233115465,Germany,2,362,1,1
12472,2010-12-05 14:19:00,2011-11-07 14:01:00,7,4148,6572.11,19.386755162241887,Germany,32,336,1,1
12473,2011-06-01 10:15:00,2011-11-10 13:46:00,5,2414,3928.0499999999997,23.52125748502994,Germany,29,162,1,1
12474,2011-01-14 10:06:00,2011-11-22 14:39:00,18,4833,7324.09,17.355663507109004,Germany,17,312,1,1
12475,2011-10-17 10:10:00,2011-10-17 10:10:00,1,535,723.38,20.093888888888888,Germany,54,0,0,0
12476,2010-12-13 14:39:00,2011-11-24 12:40:00,11,2408,6816.42,29.255021459227468,Germany,16,345,1,1
12477,2011-02-11 12:45:00,2011-11-17 09:51:00,6,3653,13219.74,44.065799999999996,Germany,23,278,1,1
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,236,680.99,18.91638888888889,Greece,4,0,0,0
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,385,527.2,17.006451612903227,Germany,11,0,0,0
12480,2011-01-07 15:27:00,2011-11-11 14:52:00,4,1707,3281.63,21.309285714285714,Germany,28,307,1,1
12481,2010-12-09 10:13:00,2011-11-17 08:29:00,10,3294,5579.82,25.8325,Germany,23,342,1,1
12483,2011-01-04 14:20:00,2011-11-22 17:02:00,8,1110,2484.98,33.133066666666664,Sweden,17,322,1,1
12484,2011-01-07 14:04:00,2011-11-07 11:37:00,6,2187,4527.32,13.199183673469387,Spain,33,303,1,1
12488,2011-09-25 10:34:00,2011-11-30 08:50:00,3,529,1298.66,23.612000000000002,France,10,65,1,0
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,105,334.93,22.328666666666667,France,336,0,0,0
12490,2011-01-14 09:13:00,2011-12-04 16:07:00,10,3064,5417.93,22.114,France,5,324,1,1
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,260,460.40000000000003,17.70769230769231,France,39,0,0,0
12492,2011-08-26 14:51:00,2011-10-07 15:15:00,2,192,263.21000000000004,13.160500000000003,Germany,63,42,1,0
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,2,207,433.74,19.715454545454545,France,166,31,1,0
12494,2010-12-09 11:31:00,2011-11-24 09:34:00,7,707,1246.1,16.18311688311688,France,16,349,1,0
12497,2011-09-19 12:29:00,2011-09-19 12:29:00,1,1236,1043.1,74.50714285714285,Germany,82,0,0,0
12498,2011-10-13 09:30:00,2011-11-18 12:53:00,3,159,403.70000000000005,17.55217391304348,Germany,21,36,1,0
12500,2011-01-10 09:48:00,2011-11-16 16:20:00,11,2678,4257.82,69.80032786885245,Germany,23,310,1,1
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,1783,2169.39,14.559664429530201,Germany,337,0,0,1
12502,2011-02-03 10:41:00,2011-09-05 11:52:00,5,820,3723.87,25.332448979591835,Spain,96,214,1,1
12504,2011-11-09 14:56:00,2011-11-21 16:02:00,2,90,482.04999999999995,53.5611111111111,Germany,18,12,1,0
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,23,73.5,3.1956521739130435,France,233,0,0,0
12507,2011-02-14 09:24:00,2011-07-28 17:09:00,3,894,1304.81,62.13380952380952,Spain,134,164,1,0
12508,2011-11-10 16:27:00,2011-11-13 15:37:00,2,271,397.88,5.851176470588236,France,26,2,1,0
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,55,176.5,25.214285714285715,France,284,0,0,0
12510,2011-01-18 14:04:00,2011-07-20 10:15:00,2,353,982.5699999999999,29.774848484848484,Spain,143,182,1,0
12512,2011-10-04 14:53:00,2011-10-04 14:55:00,2,96,132.18,4.263870967741935,Israel,66,0,1,0
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,462,612.29,17.494,France,113,0,0,0
12514,2011-03-17 16:38:00,2011-03-17 16:38:00,1,440,1017.6800000000001,19.95450980392157,Italy,267,0,0,0
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,131,383.7,23.98125,Italy,353,0,0,0
12516,2011-06-12 11:37:00,2011-09-23 09:13:00,2,875,1312.06,50.46384615384615,Germany,78,102,1,0
12517,2011-06-02 15:13:00,2011-11-11 14:04:00,5,1361,2481.6,8.894623655913978,Germany,28,161,1,1
12518,2011-08-21 13:18:00,2011-12-09 10:13:00,5,1318,2056.89,16.58782258064516,Germany,1,109,1,1
12519,2011-10-07 09:26:00,2011-10-07 09:26:00,1,175,330.84000000000003,19.46117647058824,Germany,64,0,0,0
12520,2011-03-11 11:35:00,2011-09-21 15:23:00,5,1439,2634.2599999999998,17.33065789473684,Germany,79,194,1,1
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,309,599.68,15.781052631578946,Germany,143,0,0,0
12522,2011-10-19 14:41:00,2011-10-31 15:30:00,2,194,192.72,16.06,Germany,39,12,1,0
12523,2011-01-12 09:43:00,2011-11-20 12:55:00,11,865,1789.77,16.884622641509434,France,19,312,1,1
12524,2011-01-10 10:35:00,2011-11-30 15:31:00,8,3699,4485.72,31.150833333333335,Germany,9,324,1,1
12526,2011-09-06 14:19:00,2011-12-09 12:09:00,3,632,1316.66,18.54450704225352,Germany,1,93,1,0
12527,2011-01-18 12:05:00,2011-09-19 11:55:00,3,234,348.71000000000004,19.37277777777778,Germany,82,243,1,0
12528,2011-01-31 09:05:00,2011-11-30 14:40:00,6,756,1933.48,21.01608695652174,Germany,9,303,1,1
12530,2011-01-07 10:04:00,2011-10-11 12:34:00,4,913,1662.28,25.186060606060607,Germany,60,277,1,1
12531,2011-11-25 11:12:00,2011-11-25 11:12:00,1,45,125.22,7.365882352941177,Germany,15,0,0,0
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,1,153,349.83000000000004,21.864375000000003,France,30,0,0,0
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,651,1089.18,17.28857142857143,Germany,131,0,0,0
12535,2011-06-06 12:47:00,2011-09-09 08:48:00,2,219,716.35,21.069117647058825,France,92,94,1,0
12536,2011-10-11 14:52:00,2011-10-27 14:20:00,3,2803,12601.830000000002,48.282873563218395,France,43,15,1,1
12538,2011-11-10 17:16:00,2011-11-10 17:16:00,1,191,363.95,17.33095238095238,Spain,29,0,0,0
12539,2011-01-10 09:11:00,2011-11-17 13:30:00,4,2067,5568.35,20.396886446886448,Spain,22,311,1,1
12540,2010-12-13 09:39:00,2011-11-20 11:31:00,17,6685,13400.24,28.03397489539749,Spain,20,342,1,1
12541,2011-03-04 09:32:00,2011-11-10 10:40:00,3,680,981.18,18.868846153846153,Spain,30,251,1,0
12544,2011-11-03 16:15:00,2011-11-03 16:15:00,1,136,372.7,19.61578947368421,Spain,36,0,0,0
12545,2011-03-25 12:04:00,2011-09-25 13:39:00,2,523,1000.39,20.0078,Spain,75,184,1,0
12546,2011-09-23 09:44:00,2011-10-24 12:09:00,2,633,1161.5,16.833333333333332,Spain,47,31,1,0
12547,2011-03-04 12:46:00,2011-05-26 12:38:00,2,134,207.8,25.975,Spain,198,82,1,0
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,1,49,95.19999999999999,19.04,Spain,166,0,0,0
12550,2011-09-21 14:35:00,2011-09-21 14:35:00,1,569,964.83,16.92684210526316,Spain,79,0,0,0
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,1,100,168.0,16.8,Spain,358,0,0,0
12552,2011-10-31 12:11:00,2011-11-01 10:02:00,2,88,437.82,21.891,Italy,39,0,1,0
12553,2011-01-14 10:42:00,2011-12-01 16:38:00,10,1965,3692.28,19.33130890052356,France,8,321,1,1
12556,2011-07-11 13:35:00,2011-10-20 13:06:00,2,355,599.56,5.038319327731092,Spain,50,100,1,0
12557,2010-12-03 12:20:00,2011-11-23 16:59:00,5,4384,11990.960000000001,363.36242424242425,Spain,16,355,1,1
12558,2011-12-02 10:41:00,2011-12-02 10:41:00,1,196,269.96,24.54181818181818,USA,8,0,0,0
12559,2011-01-24 10:12:00,2011-02-02 09:49:00,2,283,561.71,26.74809523809524,Germany,311,8,1,0
12560,2011-07-19 15:55:00,2011-12-04 13:54:00,3,1110,2134.0099999999998,20.32390476190476,Germany,5,137,1,1
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,1,177,238.85,14.928125,Germany,303,0,0,0
12562,2011-05-25 12:44:00,2011-12-01 17:20:00,7,1779,3781.7400000000002,22.510357142857146,France,8,190,1,1
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,1,133,456.9,21.757142857142856,France,261,0,0,0
12565,2011-02-24 10:34:00,2011-02-24 10:34:00,1,80,145.92,16.21333333333333,Saudi Arabia,289,0,0,0
12566,2011-09-14 14:30:00,2011-09-14 14:30:00,1,265,351.65,18.507894736842104,Germany,86,0,0,0
12567,2010-12-05 11:57:00,2011-11-17 11:02:00,10,4305,9401.28,21.079103139013455,France,23,346,1,1
12569,2011-04-01 13:47:00,2011-12-07 16:24:00,32,1801,4124.69,21.939840425531912,Germany,2,250,1,1
12571,2011-08-10 12:35:00,2011-10-31 10:19:00,2,523,519.61,15.28264705882353,France,40,81,1,0
12572,2011-10-19 08:20:00,2011-12-01 09:20:00,2,452,1020.4200000000001,17.007,Germany,9,43,1,0
12573,2011-04-26 15:52:00,2011-04-26 15:52:00,1,84,160.54000000000002,5.733571428571429,France,227,0,0,0
12574,2011-01-28 09:20:00,2011-01-28 09:20:00,1,61,218.45000000000002,19.85909090909091,France,316,0,0,0
12576,2011-02-08 11:31:00,2011-11-04 10:11:00,5,967,1315.83,14.952613636363635,Poland,36,268,1,0
12577,2010-12-15 16:21:00,2011-11-04 13:24:00,3,469,626.6,4.291780821917809,France,35,323,1,0
12578,2011-01-13 15:34:00,2011-11-18 13:30:00,2,1196,2794.51,24.51324561403509,Italy,21,308,1,1
12579,2011-09-22 17:15:00,2011-09-22 17:15:00,1,285,440.42,15.18689655172414,France,78,0,0,0
12580,2011-04-07 10:24:00,2011-04-07 10:24:00,1,238,415.7,17.320833333333333,Germany,247,0,0,0
12581,2011-10-31 08:56:00,2011-10-31 08:56:00,1,161,197.71,13.180666666666667,Germany,40,0,0,0
12582,2011-02-24 11:42:00,2011-04-15 08:45:00,2,300,511.36,23.243636363636366,Finland,239,49,1,0
12583,2010-12-01 08:45:00,2011-12-07 08:07:00,15,5060,7281.38,29.47927125506073,France,3,370,1,1
12584,2011-03-04 15:15:00,2011-12-06 09:35:00,9,416,2338.15,24.355729166666666,Italy,4,276,1,1
12585,2010-12-23 12:58:00,2011-04-19 13:39:00,2,1279,2040.1,23.44942528735632,Germany,234,117,1,1
12586,2011-11-22 16:24:00,2011-11-22 16:24:00,1,79,196.94000000000003,17.903636363636366,Italy,17,0,0,0
12587,2011-12-02 12:47:00,2011-12-02 12:47:00,1,51,144.0,36.0,Finland,8,0,0,0
12588,2011-10-31 15:01:00,2011-10-31 15:01:00,1,53,214.89999999999998,21.49,Finland,39,0,0,0
12589,2011-07-18 12:05:00,2011-11-11 10:19:00,2,306,646.68,18.47657142857143,France,29,115,1,0
12590,2011-05-12 14:46:00,2011-05-12 14:52:00,2,4283,9864.26,145.06264705882353,Germany,211,0,1,1
12591,2011-01-26 14:35:00,2011-01-26 14:35:00,1,228,452.84999999999997,17.41730769230769,Italy,317,0,0,0
12592,2011-05-10 13:44:00,2011-09-08 15:04:00,2,290,437.6,24.311111111111114,Germany,92,121,1,0
12593,2011-05-05 09:29:00,2011-08-23 12:43:00,3,206,418.09999999999997,19.909523809523808,France,109,110,1,0
12594,2011-01-21 09:52:00,2011-11-02 12:20:00,10,1777,3338.2200000000003,28.290000000000003,Italy,38,285,1,1
12596,2011-04-11 13:22:00,2011-10-19 13:02:00,2,474,618.27,22.898888888888887,Spain,51,190,1,0
12597,2011-03-16 14:00:00,2011-11-20 13:33:00,4,2236,3811.22,18.50106796116505,Spain,19,248,1,1
12598,2011-02-28 11:58:00,2011-11-30 12:18:00,8,1964,3023.08,22.902121212121212,France,10,275,1,1
12599,2011-02-08 13:28:00,2011-11-10 13:34:00,7,956,1032.58,16.654516129032256,France,29,275,1,0
12600,2010-12-03 12:57:00,2011-11-11 10:29:00,10,774,2599.04,40.61,Germany,29,342,1,1
12601,2011-01-11 10:38:00,2011-06-03 10:17:00,5,245,577.0600000000001,20.609285714285715,Germany,190,142,1,0
12602,2011-10-12 11:22:00,2011-10-12 11:22:00,1,162,153.12,12.76,France,59,0,0,0
12603,2011-11-18 10:42:00,2011-11-18 10:42:00,1,63,739.1999999999999,369.59999999999997,Germany,22,0,0,0
12604,2011-03-23 12:06:00,2011-09-21 14:08:00,2,201,254.18,15.88625,France,79,182,1,0
12607,2011-10-10 16:06:00,2011-10-10 16:06:00,1,1228,1579.51,15.63871287128713,USA,60,0,0,0
12609,2011-01-25 15:13:00,2011-09-22 16:34:00,3,648,1126.85,18.78083333333333,Germany,78,240,1,0
12610,2011-08-05 13:52:00,2011-11-17 09:34:00,5,1049,2099.54,19.80698113207547,Italy,23,103,1,1
12611,2011-10-18 13:12:00,2011-10-18 13:12:00,1,846,1193.32,18.35876923076923,Italy,52,0,0,0
12612,2011-09-26 15:35:00,2011-09-26 15:35:00,1,262,704.04,37.054736842105264,Germany,74,0,0,0
12613,2011-03-22 15:42:00,2011-10-13 14:59:00,5,1644,3344.38,21.858692810457516,Germany,57,204,1,1
12614,2011-03-07 10:22:00,2011-03-07 10:22:00,1,76,315.6,15.780000000000001,Germany,278,0,0,0
12615,2011-06-24 13:35:00,2011-12-07 15:02:00,4,1376,2291.19,21.820857142857143,France,2,166,1,1
12616,2011-02-15 14:17:00,2011-09-05 15:17:00,2,284,713.3,22.290625,France,95,202,1,0
12617,2011-11-10 14:39:00,2011-11-10 14:39:00,1,210,352.98,8.609268292682927,France,29,0,0,0
12618,2011-11-18 11:10:00,2011-11-18 11:10:00,1,96,177.31,16.11909090909091,Italy,22,0,0,0
12619,2011-03-31 13:10:00,2011-11-23 14:52:00,9,3378,3641.24,40.45822222222222,Germany,16,237,1,1
12620,2011-05-19 12:10:00,2011-11-25 10:20:00,3,1181,1339.41,14.558804347826088,France,15,189,1,0
12621,2010-12-09 10:16:00,2011-12-08 11:25:00,20,7440,13689.67,29.31406852248394,Germany,2,364,1,1
12622,2011-04-21 16:39:00,2011-04-21 16:39:00,1,69,180.1,16.37272727272727,Germany,232,0,0,0
12623,2011-03-08 13:50:00,2011-03-08 13:50:00,1,191,305.1,16.950000000000003,Germany,276,0,0,0
12624,2011-06-15 12:34:00,2011-08-25 15:04:00,2,355,641.13,16.87184210526316,France,106,71,1,0
12625,2011-01-24 13:27:00,2011-05-12 09:54:00,2,1612,2683.82,31.207209302325584,Germany,212,107,1,1
12626,2011-01-17 11:01:00,2011-11-16 16:06:00,9,3453,6620.48,22.51863945578231,Germany,23,303,1,1
12627,2011-07-22 13:59:00,2011-11-29 12:07:00,7,2752,4478.53,19.47186956521739,Germany,11,129,1,1
12628,2011-10-06 09:28:00,2011-12-05 13:15:00,3,448,786.46,19.181951219512197,Germany,4,60,1,0
12630,2011-10-27 10:41:00,2011-11-30 10:48:00,2,548,1270.88,19.8575,Finland,10,34,1,0
12631,2011-10-13 13:53:00,2011-10-13 13:53:00,1,236,640.5,20.661290322580644,Finland,57,0,0,0
12633,2011-02-25 08:44:00,2011-10-12 11:40:00,4,1162,2163.98,21.425544554455445,Germany,59,229,1,1
12635,2011-07-08 08:43:00,2011-09-11 11:04:00,2,1172,1689.18,16.724554455445546,Germany,90,65,1,1
12637,2011-01-20 10:47:00,2011-10-03 13:46:00,8,2994,6002.9,15.714397905759162,France,67,256,1,1
12638,2011-11-06 13:11:00,2011-11-06 13:11:00,1,577,671.69,17.222820512820515,Sweden,33,0,0,0
12639,2011-04-15 12:48:00,2011-04-15 12:48:00,1,201,486.1,22.095454545454547,Sweden,239,0,0,0
